card_id,playerClass,type,name,set,text,mana cost,attack,health,rarity,collectible,flavor,sentiment
AT_132,NEUTRAL,MINION,Justicar Trueheart,TGT,<b>Battlecry:</b> Replace your starting Hero Power with a better one.,6,6,3,LEGENDARY,TRUE,It's like putting racing stripes and a giant spoiler on your hero power.,very positive
AT_131,NEUTRAL,MINION,Eydis Darkbane,TGT,"Whenever <b>you</b> target this minion with a spell, deal 3 damage to a random enemy.",3,3,4,LEGENDARY,TRUE,"HATES being called ""the wonder twins"".",very negative
EX1_583,NEUTRAL,MINION,Priestess of Elune,EXPERT1,<b>Battlecry:</b> Restore 4 Health to your hero.,6,5,4,COMMON,TRUE,"If she threatens to ""moon"" you, it's not what you think.",negative
CFM_095,NEUTRAL,MINION,Weasel Tunneler,GANGS,<b>Deathrattle:</b> Shuffle this minion into your opponent's deck.,1,1,1,EPIC,TRUE,He's the reason the First Bank of Gadgetzan has steel floors.,positive
BRM_018,PALADIN,MINION,Dragon Consort,BRM,<b>Battlecry:</b> The next Dragon you play costs (2) less.,5,5,5,RARE,TRUE,Everybody wants someone to snuggle with. Even giant armored scaly draconic beasts of destruction.,very negative
OG_027,SHAMAN,SPELL,Evolve,OG,Transform your minions into random minions that cost (1) more.,1,0,0,RARE,TRUE,"So you say you want an evolution. Well, you know. We all want to change the board.",neutral
GVG_030,DRUID,MINION,Anodized Robo Cub,GVG,"<b>Taunt</b>. <b>Choose One -</b>
+1 Attack; or +1 Health.",2,2,2,COMMON,TRUE,It's adorable! AND OH MY GOODNESS WHY IS IT EATING MY FACE,very positive
CFM_094,WARLOCK,SPELL,Felfire Potion,GANGS,Deal $5 damage to all characters.,6,0,0,RARE,TRUE,Kazakus has a squad of imps bottling Felfire round-the-clock and he *still* can't keep up with demand.,negative
CS2_227,NEUTRAL,MINION,Venture Co. Mercenary,EXPERT1,Your minions cost (3) more.,5,7,6,COMMON,TRUE,No Job is too big.  No fee is too big.,very negative
KAR_062,NEUTRAL,MINION,Netherspite Historian,KARA,"<b>Battlecry:</b> If you're holding a Dragon, <b>Discover</b>
a Dragon.",2,1,3,COMMON,TRUE,She can tell you all about the history of people not STANDING IN THE GREEN BEAM!,very positive
KAR_076,MAGE,SPELL,Firelands Portal,KARA,"Deal $5 damage. Summon a random
5-Cost minion.",7,0,0,COMMON,TRUE,"Come to beautiful Firelands! Where it's <i>""Way nicer than the Abyssal Maw!""</i>",very positive
